time,lux,hum,temp
2026-06-28 00:30:00+00:00,100,69,28.4
2026-06-28 00:35:00+00:00,100,69,28.3
2026-06-28 00:40:00+00:00,100,69,28.4
2026-06-28 00:45:00+00:00,100,69,28.4
2026-06-28 00:50:00+00:00,100,70,28.4
2026-06-28 00:55:00+00:00,100,70,28.4
2026-06-28 01:00:00+00:00,100,70,28.4
2026-06-28 01:05:00+00:00,100,70,28.3
2026-06-28 01:10:00+00:00,100,70,28.3
2026-06-28 01:15:00+00:00,100,70,28.3
2026-06-28 01:20:00+00:00,100,70,28.3
2026-06-28 01:25:00+00:00,100,70,28.3
2026-06-28 01:30:00+00:00,100,70,28.3
2026-06-28 01:35:00+00:00,100,69,28.3
2026-06-28 01:40:00+00:00,100,69,28.3
2026-06-28 01:45:00+00:00,100,69,28.3
2026-06-28 01:50:00+00:00,100,69,28.3
2026-06-28 01:55:00+00:00,100,69,28.3
2026-06-28 02:00:00+00:00,100,69,28.3
2026-06-28 02:05:00+00:00,100,69,28.2
2026-06-28 02:10:00+00:00,100,69,28.2
2026-06-28 02:15:00+00:00,100,69,28.2
2026-06-28 02:20:00+00:00,100,69,28.2
2026-06-28 02:25:00+00:00,100,69,28.2
2026-06-28 02:30:00+00:00,100,69,28.2
2026-06-28 02:35:00+00:00,100,69,28.2
2026-06-28 02:40:00+00:00,100,69,28.2
2026-06-28 02:45:00+00:00,100,69,28.2
2026-06-28 02:50:00+00:00,100,69,28.2
2026-06-28 02:55:00+00:00,100,68,28.2
2026-06-28 03:00:00+00:00,100,68,28.2
2026-06-28 03:05:00+00:00,100,68,28.2
2026-06-28 03:10:00+00:00,100,68,28.2
2026-06-28 03:15:00+00:00,100,68,28.2
2026-06-28 03:20:00+00:00,100,68,28.1
2026-06-28 03:25:00+00:00,100,68,28.1
2026-06-28 03:30:00+00:00,100,68,28.1
2026-06-28 03:35:00+00:00,100,68,28.1
2026-06-28 03:40:00+00:00,100,68,28.1
2026-06-28 03:45:00+00:00,98.6,68,28.1
2026-06-28 03:50:00+00:00,93.7,68,28.1
2026-06-28 03:55:00+00:00,90.3,68,28
2026-06-28 04:00:00+00:00,86,68,28.1
2026-06-28 04:05:00+00:00,81.1,68,28.1
2026-06-28 04:10:00+00:00,76,68,28.1
2026-06-28 04:15:00+00:00,71.4,67,28
2026-06-28 04:20:00+00:00,67.3,67,28
2026-06-28 04:25:00+00:00,63.3,67,28
2026-06-28 04:30:00+00:00,59.4,67,28
2026-06-28 04:35:00+00:00,55.5,67,28
2026-06-28 04:40:00+00:00,49.4,67,28.1
2026-06-28 04:45:00+00:00,8.7,67,28.1
2026-06-28 04:50:00+00:00,7.3,67,28.1
2026-06-28 04:55:00+00:00,7,66,28.2
2026-06-28 05:00:00+00:00,6.8,66,28.2
2026-06-28 05:05:00+00:00,6.8,66,28.2
2026-06-28 05:10:00+00:00,6.7,66,28.2
2026-06-28 05:15:00+00:00,6.8,66,28.3
2026-06-28 05:20:00+00:00,7,66,28.2
2026-06-28 05:25:00+00:00,7.4,66,28.2
2026-06-28 05:30:00+00:00,7.8,66,28.2
2026-06-28 05:35:00+00:00,8.4,66,28.3
2026-06-28 05:40:00+00:00,9.1,66,28.2
2026-06-28 05:45:00+00:00,9.9,66,28.2
2026-06-28 05:50:00+00:00,10.2,66,28.2
2026-06-28 05:55:00+00:00,10.4,66,28.2
2026-06-28 06:00:00+00:00,10.5,67,28.2
2026-06-28 06:05:00+00:00,11,67,28.2
2026-06-28 06:10:00+00:00,11.4,67,28.3
2026-06-28 06:15:00+00:00,11.5,67,28.3
2026-06-28 06:20:00+00:00,11.7,67,28.3
2026-06-28 06:25:00+00:00,11.8,67,28.3
2026-06-28 06:30:00+00:00,11.9,66,28.3
2026-06-28 06:35:00+00:00,12.3,67,28.2
2026-06-28 06:40:00+00:00,12.6,65,28.1
2026-06-28 06:45:00+00:00,12.4,64,28.1
2026-06-28 06:50:00+00:00,12.2,63,28
2026-06-28 06:55:00+00:00,12.4,63,28.1
2026-06-28 07:00:00+00:00,12,63,28.1
2026-06-28 07:05:00+00:00,11.8,64,28.1
2026-06-28 07:10:00+00:00,11.7,64,28.1
2026-06-28 07:15:00+00:00,12.5,64,28.2
2026-06-28 07:20:00+00:00,12.8,64,28.2
2026-06-28 07:25:00+00:00,13.3,64,28.2
2026-06-28 07:30:00+00:00,14.2,63,28.3
2026-06-28 07:35:00+00:00,15.6,63,28.3
2026-06-28 07:40:00+00:00,16.4,64,28.3
2026-06-28 07:45:00+00:00,16.6,63,28.1
2026-06-28 07:50:00+00:00,17.2,62,28
2026-06-28 07:55:00+00:00,18.2,63,28.2
2026-06-28 08:00:00+00:00,19.4,63,28.3
2026-06-28 08:05:00+00:00,21.3,63,28.4
2026-06-28 08:10:00+00:00,22.2,63,28.4
2026-06-28 08:15:00+00:00,23,63,28.2
2026-06-28 08:20:00+00:00,23.3,63,28.2
2026-06-28 08:25:00+00:00,24.1,63,28.2
2026-06-28 08:30:00+00:00,24.3,63,28.2
2026-06-28 08:35:00+00:00,24.8,63,28.2
2026-06-28 08:40:00+00:00,25.4,63,28.2
2026-06-28 08:45:00+00:00,26.5,62,28.2
2026-06-28 08:55:00+00:00,27.5,62,28.2
2026-06-28 09:00:00+00:00,27.7,62,28.2
2026-06-28 09:05:00+00:00,28.2,61,28.3
2026-06-28 09:10:00+00:00,28.9,61,28.4
2026-06-28 09:15:00+00:00,29.4,61,28.4
2026-06-28 09:20:00+00:00,29.5,61,28.4
2026-06-28 09:25:00+00:00,29.8,61,28.4
2026-06-28 09:30:00+00:00,30.4,61,28.4
2026-06-28 09:35:00+00:00,29.7,61,28.4
2026-06-28 09:40:00+00:00,31,61,28.4
2026-06-28 09:45:00+00:00,31.2,61,28.4
2026-06-28 09:50:00+00:00,31.6,61,28.4
2026-06-28 09:55:00+00:00,32.1,61,28.4
2026-06-28 10:00:00+00:00,32.1,61,28.4
2026-06-28 10:05:00+00:00,32.7,61,28.4
2026-06-28 10:10:00+00:00,32.6,61,28.4
2026-06-28 10:15:00+00:00,33.2,61,28.4
2026-06-28 10:20:00+00:00,33.4,61,28.4
2026-06-28 10:25:00+00:00,32.8,61,28.4
2026-06-28 10:30:00+00:00,33.9,61,28.4
2026-06-28 10:35:00+00:00,34.7,61,28.4
2026-06-28 10:40:00+00:00,33.6,60,28.3
2026-06-28 10:45:00+00:00,35.5,60,28.3
2026-06-28 10:50:00+00:00,37,59,28.2
2026-06-28 10:55:00+00:00,37.6,59,28.2
2026-06-28 11:00:00+00:00,38.5,56,28.2
2026-06-28 11:05:00+00:00,38.3,58,28.3
2026-06-28 11:10:00+00:00,38.3,59,28.3
2026-06-28 11:15:00+00:00,38.2,58,28.2
2026-06-28 11:20:00+00:00,38.6,58,28.2
2026-06-28 11:25:00+00:00,38.8,58,28.2
2026-06-28 11:30:00+00:00,39.4,58,28.2
2026-06-28 11:35:00+00:00,39.1,57,28.2
2026-06-28 11:40:00+00:00,39.3,58,28.3
2026-06-28 11:45:00+00:00,43.8,57,28.2
2026-06-28 11:50:00+00:00,39.5,58,28.2
2026-06-28 11:55:00+00:00,39.3,58,28.2
2026-06-28 12:00:00+00:00,39.5,57,28.3
2026-06-28 12:05:00+00:00,38.8,57,28.3
2026-06-28 12:10:00+00:00,37.8,57,28.4
2026-06-28 12:15:00+00:00,37.3,57,28.5
2026-06-28 12:20:00+00:00,36.7,57,28.5
2026-06-28 12:25:00+00:00,41.2,57,28.5
2026-06-28 12:30:00+00:00,38.2,57,28.5
2026-06-28 12:35:00+00:00,36.8,58,28.4
2026-06-28 12:40:00+00:00,34,58,28.4
2026-06-28 12:45:00+00:00,32.1,57,28.5
2026-06-28 12:50:00+00:00,31.8,57,28.6
2026-06-28 12:55:00+00:00,32.2,58,28.6
2026-06-28 13:00:00+00:00,32.8,58,28.6
2026-06-28 13:05:00+00:00,34.5,58,28.6
2026-06-28 13:10:00+00:00,34,58,28.7
2026-06-28 13:15:00+00:00,33.4,58,28.7
2026-06-28 13:20:00+00:00,32.6,59,28.7
2026-06-28 13:25:00+00:00,33.1,59,28.7
2026-06-28 13:30:00+00:00,33,59,28.7
2026-06-28 13:35:00+00:00,34.6,59,28.7
2026-06-28 13:40:00+00:00,34.6,60,28.6
2026-06-28 13:45:00+00:00,35.9,60,28.6
2026-06-28 13:50:00+00:00,36.5,60,28.6
2026-06-28 13:55:00+00:00,36,60,28.6
2026-06-28 14:00:00+00:00,35.7,59,28.7
2026-06-28 14:05:00+00:00,37.2,59,28.7
2026-06-28 14:10:00+00:00,37.5,59,28.7
2026-06-28 14:15:00+00:00,39.6,59,28.7
2026-06-28 14:20:00+00:00,35.9,59,28.7
2026-06-28 14:25:00+00:00,34.7,59,28.7
2026-06-28 14:30:00+00:00,34,59,28.8
2026-06-28 14:35:00+00:00,36.1,59,28.7
2026-06-28 14:40:00+00:00,41.2,59,28.7
2026-06-28 14:45:00+00:00,42.7,59,28.8
2026-06-28 14:50:00+00:00,42.7,58,28.8
2026-06-28 14:55:00+00:00,38.2,58,28.8
2026-06-28 15:00:00+00:00,36.7,58,28.8
2026-06-28 15:05:00+00:00,38.7,58,28.8
2026-06-28 15:10:00+00:00,38,58,28.8
2026-06-28 15:20:00+00:00,33.1,59,28.8
2026-06-28 15:25:00+00:00,34,59,28.8
2026-06-28 15:30:00+00:00,36.3,58,28.8
2026-06-28 15:35:00+00:00,37.3,58,28.9
2026-06-28 15:40:00+00:00,39.8,58,28.9
